location,time,life_expectancy,fertility_rate,pop_mlns
ESP,1977,74.2,2.7,36.56384
SWE,1977,75.6,1.6,8.25154
CHE,1977,75.4,1.5,6.281175
TUR,1977,56.9,4.9,41.769
USA,1977,73.4,1.8,220.2394
BRA,1977,61.3,4.3,110.671
CHN,1977,65,3.2,943.7886
EST,1977,69.6,2.1,1.450211
IND,1977,52.3,5,651.5868
IDN,1977,58.3,4.8,135.5849
ISR,1977,73,3.5,3.6532
RUS,1977,67.5,2,135.9192
AUS,1976,72.8,2.1,14.03308
AUT,1976,71.7,1.7,7.565525
BEL,1976,72.2,1.7,9.818227
CAN,1976,73.9,1.8,23.45
CZE,1976,70.7,2.4,10.12822
DNK,1976,73.9,1.7,5.072596
FIN,1976,72,1.7,4.726
FRA,1976,73.2,1.8,52.90867
DEU,1976,71.8,1.5,61.531
GRC,1976,74.5,2.4,9.18815
HUN,1976,69.7,2.3,10.599
ISL,1976,77.1,2.5,0.2202
ITA,1976,72.8,2.1,55.07
JPN,1976,74.8,1.9,113.089
KOR,1976,64.6,3,35.84852
LUX,1976,70.8,1.5,0.360731
MEX,1976,65.2,5.7,60.60077
NLD,1976,74.7,1.6,13.77404
NZL,1976,72.3,2.3,3.116
NOR,1976,75.3,1.9,4.026
POL,1976,70.7,2.3,34.362
PRT,1976,69,2.6,9.35581
SVK,1976,70.6,2.5,4.789506
ESP,1976,73.7,2.8,36.11804
SWE,1976,75.1,1.7,8.222285
CHE,1976,74.9,1.5,6.302505
TUR,1976,56.5,5.2,40.916
USA,1976,73,1.7,218.0352
BRA,1976,61.1,4.4,108.054
CHN,1976,64.3,3.5,929.4601
EST,1976,69.5,2.1,1.439576
IND,1976,51.7,5.1,636.6017
IDN,1976,57.8,4.9,132.3799
ISR,1976,73,3.7,3.5754
RUS,1976,67.6,2,135.0639
AUS,1975,72.7,2.1,13.893
AUT,1975,71.2,1.8,7.578902
BEL,1975,72.1,1.7,9.8007
CZE,1975,70.6,2.4,10.06237
DNK,1975,74.2,1.9,5.059861
FIN,1975,71.7,1.7,4.712
FRA,1975,73,1.9,52.69917
DEU,1975,71.4,1.5,61.829
GRC,1975,74.5,2.3,9.04654
HUN,1975,69.4,2.4,10.541
ISL,1975,75.7,2.6,0.218
ITA,1975,72.7,2.2,54.764
JPN,1975,74.3,1.9,111.94
KOR,1975,64.3,3.4,35.28073
LUX,1975,70.8,1.6,0.35895
MEX,1975,64.7,5.9,58.9102
NLD,1975,74.6,1.7,13.66633
NZL,1975,72.1,2.4,3.087
NOR,1975,75.1,2,4.007
POL,1975,70.6,2.3,34.022
PRT,1975,68.4,2.6,9.09347
SVK,1975,70.5,2.5,4.739105
ESP,1975,73.4,2.8,35.68771
SWE,1975,75.2,1.8,8.192437
CHE,1975,74.8,1.6,6.338632
TUR,1975,56.1,5.3,40.026
USA,1975,72.7,1.8,215.9732
BRA,1975,60.9,4.5,105.45
CHN,1975,63.6,3.8,913.6462
EST,1975,69.9,2,1.429351
IND,1975,51.1,5.2,622.0544
IDN,1975,57.3,5,129.2241
ISR,1975,72.1,3.7,3.4932
RUS,1975,67.9,2,134.2325
AUS,1974,71.9,2.3,13.72257
AUT,1974,71.1,1.9,7.599038
BEL,1974,72.1,1.8,9.772419
CZE,1974,70.2,2.4,9.994761
DNK,1974,74,1.9,5.045297
FIN,1974,71.2,1.6,4.691
FRA,1974,72.8,2.1,52.46036
DEU,1974,71.5,1.5,62.054
GRC,1974,74.6,2.4,8.962021
HUN,1974,69.3,2.3,10.479
ISL,1974,74.6,2.7,0.2152
ITA,1974,72.6,2.3,54.39
JPN,1974,73.7,2.1,110.049
KOR,1974,63.9,3.8,34.69227
LUX,1974,70.8,1.6,0.35505
MEX,1974,64.2,6.2,57.2322
NLD,1974,74.6,1.8,13.54506
NZL,1974,72,2.6,3.032
NOR,1974,75.1,2.1,3.985
POL,1974,71.2,2.3,33.691
PRT,1974,68.1,2.6,8.754365
SVK,1974,70.3,2.6,4.689623
SWE,1974,75.1,1.9,8.159955
CHE,1974,74.4,1.7,6.341406
TUR,1974,55.7,5.5,39.037
USA,1974,72.1,1.8,213.8539
BRA,1974,60.6,4.6,102.861
CHN,1974,62.8,4.2,895.9727
EST,1974,70.5,2.1,1.418169
IND,1974,50.4,5.3,607.7719
IDN,1974,56.7,5.2,126.0701
ISR,1974,71.7,3.7,3.4216
RUS,1974,68.5,2,133.4172
AUS,1973,72.1,2.5,13.50454
AUT,1973,71.1,1.9,7.586114
BEL,1973,71.7,2,9.74172
CZE,1973,70.2,2.3,9.919519
DNK,1973,73.6,1.9,5.021861
FIN,1973,71.2,1.5,4.666
FRA,1973,72.5,2.3,52.1183
DEU,1973,71.3,1.6,61.976
GRC,1973,74.1,2.3,8.929086
HUN,1973,69.6,2,10.432
ISL,1973,74.6,2.9,0.2123
JPN,1973,73.4,2.1,108.71
KOR,1973,63.5,4.1,34.10315
LUX,1973,70.8,1.6,0.35045
MEX,1973,63.7,6.4,55.57468
NLD,1973,74.2,1.9,13.43932
NZL,1973,71.8,2.8,2.971
NOR,1973,74.7,2.2,3.961
POL,1973,70.7,2.3,33.363
PRT,1973,67.5,2.7,8.6331
SVK,1973,70.1,2.6,4.641444
SWE,1973,75,1.9,8.136312
CHE,1973,74.1,1.8,6.307348
TUR,1973,55.4,5.6,38.073
USA,1973,71.5,1.9,211.9088
BRA,1973,60.3,4.6,100.291
CHN,1973,61.9,4.6,876.8586
EST,1973,70.4,2.1,1.405951
IND,1973,49.8,5.4,593.9493
IDN,1973,56.2,5.3,122.9808
ISR,1973,71.7,3.7,3.3382
RUS,1973,68.4,2,132.6161
AUS,1972,72,2.7,13.30366
AUT,1972,70.6,2.1,7.544201
BEL,1972,71.5,2.1,9.711114
CZE,1972,70.3,2.1,9.868379
DNK,1972,73.4,2,4.991596
FIN,1972,70.7,1.6,4.64
FRA,1972,72.4,2.4,51.70091
DEU,1972,71,1.7,61.672
GRC,1972,73.8,2.3,8.888628
HUN,1972,69.8,1.9,10.398
ISL,1972,74.5,3.1,0.2092
JPN,1972,73.2,2.1,107.332
KOR,1972,63.1,4.1,33.50541
LUX,1972,70.9,1.8,0.3466
MEX,1972,63.1,6.5,53.94499
NLD,1972,73.8,2.2,13.32859
NZL,1972,71.7,3,2.913
NOR,1972,74.6,2.4,3.933
POL,1972,70.7,2.2,33.068
PRT,1972,68.4,2.7,8.63043
SVK,1972,70.5,2.5,4.596621
SWE,1972,74.8,1.9,8.122299
CHE,1972,73.8,1.9,6.260956
TUR,1972,55,5,37.133
USA,1972,71.3,2,209.896
BRA,1972,60,4.8,97.741
CHN,1972,61,5,856.5981
EST,1972,70.1,2.1,1.392518
IND,1972,49.1,5.4,580.5688
IDN,1972,55.7,5.3,119.9551
ISR,1972,71.5,3.7,3.225
RUS,1972,68.4,2.1,131.838
AUS,1971,71.6,2.9,13.06726
AUT,1971,70.2,2.2,7.500481
BEL,1971,71.2,2.2,9.673161
CAN,1971,72.9,2.2,21.962
CZE,1971,69.8,2,9.830602
DNK,1971,73.3,2,4.963125
FIN,1971,70.1,1.7,4.612
FRA,1971,72.1,2.5,51.25109
DEU,1971,70.8,2,61.302
GRC,1971,74.2,2.3,8.831036
HUN,1971,69.1,1.9,10.368
ISL,1971,73.7,2.9,0.2062
ITA,1971,72,2.4,53.124
JPN,1971,72.9,2.2,105.014
KOR,1971,62.7,4.5,32.8827
LUX,1971,69.7,2,0.34242
MEX,1971,62.4,6.6,52.34549
NLD,1971,73.9,2.4,13.1945
NZL,1971,71.6,3.2,2.864
NOR,1971,74.4,2.5,3.903
POL,1971,69.7,2.3,32.805
PRT,1971,66.4,2.8,8.643756
SVK,1971,70,2.4,4.557448
SWE,1971,74.8,2,8.098334
CHE,1971,73.3,2,6.213405
TUR,1971,54.6,5,36.215
GBR,1971,71.9,2.4,55.928
USA,1971,71.2,2.3,207.6607
BRA,1971,59.6,4.9,95.215
CHN,1971,59.9,5.3,835.6502
EST,1971,70.3,2.2,1.376955
IND,1971,48.4,5.5,567.6116
IDN,1971,55.1,5.4,116.9891
ISR,1971,71.8,3.9,3.0951
RUS,1971,68.5,2,131.0955
AUS,1970,70.8,2.9,12.50735
AUT,1970,70,2.3,7.467086
BEL,1970,71.1,2.3,9.655549
CZE,1970,69.6,1.9,9.805157
DNK,1970,73.3,2,4.928757
FIN,1970,70.8,1.8,4.606
FRA,1970,72.2,2.5,50.77223
DEU,1970,70.6,2,60.651
GRC,1970,73.8,2.4,8.792806
HUN,1970,69.2,2,10.338
ISL,1970,74,2.8,0.2045
IRL,1970,71.2,3.9,2.9499
JPN,1970,72,2.1,103.72
KOR,1970,62.3,4.5,32.24083
MEX,1970,60.9,6.7,50.78524
NLD,1970,73.7,2.6,13.03853
NZL,1970,71.5,3.2,2.82
NOR,1970,74.4,2.5,3.879
POL,1970,70,2.2,32.526
PRT,1970,66.7,2.8,8.680431
SVK,1970,70,2.4,4.538222
ESP,1970,72,2.9,33.75282
SWE,1970,74.8,1.9,8.0428
CHE,1970,73.1,2.1,6.180882
TUR,1970,54.2,5,35.321
GBR,1970,71.9,2.4,55.632
USA,1970,70.9,2.5,205.0522
BRA,1970,59.2,5,92.716
CHL,1970,62.3,4,9.569631
CHN,1970,58.7,5.6,814.4229
EST,1970,70,2.2,1.360076
IND,1970,47.7,5.6,555.0637
IDN,1970,54.6,5.5,114.0802
RUS,1970,68.3,2,130.3918
AUS,1969,71.1,2.9,12.26301
AUT,1969,69.9,2.5,7.441055
BEL,1969,70.9,2.3,9.646032
CZE,1969,69.6,1.9,9.896695
DNK,1969,73.2,2,4.891859
FRA,1969,71.3,2.5,50.31798
DEU,1969,70.3,2.2,60.067
GRC,1969,73,2.4,8.772764
HUN,1969,69.4,2,10.294
ISL,1969,73.8,3,0.2034
JPN,1969,71.9,2.1,102.648
NLD,1969,73.6,2.7,12.87798
NZL,1969,71.5,3.3,2.78
NOR,1969,74,2.7,3.851
POL,1969,69.8,2.2,32.555
PRT,1969,65.9,3,8.757705
SVK,1969,70.1,2.4,4.518607
SWE,1969,74.2,1.9,7.968071
CHE,1969,72.7,2.2,6.136387
TUR,1969,53.8,5.2,34.443
USA,1969,70.6,2.5,202.677
BRA,1969,58.8,5.2,90.246
CHN,1969,57.2,5.9,792.5192
EST,1969,69.9,2.1,1.345249
IND,1969,47,5.6,542.7511
IDN,1969,54,5.5,111.1794
RUS,1969,68,2,129.7342
AUS,1968,70.9,2.9,12.00863
AUT,1968,70.2,2.6,7.415402
BEL,1968,70.8,2.3,9.618755
CZE,1968,70.1,1.8,9.877632
DNK,1968,73,2.1,4.864882
FIN,1968,69.8,2.1,4.626
FRA,1968,71.5,2.6,49.9154
DEU,1968,70.5,2.4,59.5
GRC,1968,72.4,2.4,8.740765
HUN,1968,69.3,2.1,10.256
ISL,1968,74.1,3.1,0.2015
JPN,1968,71.7,2.1,101.408
NLD,1968,73.7,2.7,12.72972
NZL,1968,71.4,3.3,2.754
NOR,1968,74.2,2.8,3.819
POL,1968,70.3,2.2,32.305
PRT,1968,66.4,3,8.83665
SVK,1968,70.7,2.4,4.483914
SWE,1968,74.1,2.1,7.912273
CHE,1968,72.7,2.3,6.067713
TUR,1968,53.4,5.3,33.586
USA,1968,70.4,2.5,200.706
BRA,1968,58.3,5.3,87.807
CHN,1968,55.5,6.1,770.5073
EST,1968,70.2,2,1.331213
IND,1968,46.4,5.7,530.8898
IDN,1968,53.4,5.6,108.3459
RUS,1968,68,2,129.103
AUS,1967,71.2,2.8,11.79908
AUT,1967,70,2.6,7.376998
BEL,1967,71.1,2.4,9.58099
CZE,1967,70.5,1.9,9.854241
DNK,1967,72.6,2.4,4.835354
FRA,1967,71.5,2.7,49.5483
DEU,1967,70.9,2.5,59.286
GRC,1967,72.3,2.5,8.684088
HUN,1967,69.5,2,10.217
ISL,1967,73.9,3.3,0.1988
JPN,1967,71.5,2.2,100.243
NLD,1967,73.9,2.8,12.5982
NZL,1967,71.4,3.3,2.728
NOR,1967,74.3,2.8,3.785
POL,1967,69.5,2.3,31.944
PRT,1967,66,3.1,8.87452
SVK,1967,71.2,2.5,4.449367
SWE,1967,74.2,2.3,7.867931
CHE,1967,72.8,2.4,5.991785
TUR,1967,52.9,5.5,32.75
USA,1967,70.7,2.6,198.7121
BRA,1967,57.8,5.5,85.402
CHN,1967,53.5,6.3,749.1154
EST,1967,70.6,1.9,1.318946
IND,1967,45.7,5.8,519.47
IDN,1967,52.8,5.6,105.5884
RUS,1967,68,2,128.4414
AUS,1966,70.8,2.9,11.5995
AUT,1966,70.2,2.7,7.322066
BEL,1966,70.8,2.5,9.527807
CAN,1966,72,2.8,20.421
CZE,1966,70.6,2,9.826188
FRA,1966,71.5,2.8,49.16366
DEU,1966,70.6,2.5,59.148
GRC,1966,72.6,2.3,8.613651
HUN,1966,69.9,1.9,10.179
ISL,1966,73.4,3.6,0.1956
JPN,1966,71,1.6,99.054
NLD,1966,73.6,2.9,12.45625
NZL,1966,71.3,3.4,2.683
NOR,1966,74.3,2.9,3.753
POL,1966,69.9,2.3,31.698
PRT,1966,65.2,3.1,8.93099
SVK,1966,70.6,2.7,4.411666
SWE,1966,74.2,2.4,7.807797
CHE,1966,72.5,2.5,5.918002
TUR,1966,52.2,5.7,31.936
USA,1966,70.3,2.7,196.5603
BRA,1966,57.3,5.6,83.033
CHN,1966,51.3,6.4,729.2626
EST,1966,70.4,1.9,1.308596
IND,1966,45,5.8,508.4673
IDN,1966,52.3,5.6,102.9184
RUS,1966,67.9,2.1,127.6746
AUS,1965,71,3,11.3409
AUT,1965,69.8,2.7,7.270888
BEL,1965,70.7,2.6,9.463667
CZE,1965,70.4,2.2,9.785102
FRA,1965,71.3,2.8,48.7578
DEU,1965,70.5,2.5,58.619
GRC,1965,72.4,2.3,8.550333
HUN,1965,69.1,1.8,10.148
ISL,1965,73.9,3.7,0.1923
JPN,1965,70.3,2.1,98.275
NLD,1965,73.6,3,12.29473
NZL,1965,71.2,3.5,2.635
NOR,1965,74,2.9,3.723
POL,1965,69.5,2.5,31.496
PRT,1965,65.8,3.1,8.998595
SVK,1965,70.4,2.8,4.370983
SWE,1965,73.9,2.4,7.733853
CHE,1965,72.3,2.6,5.856472
TUR,1965,51.6,5.8,31.149
USA,1965,70.3,2.9,194.303
BRA,1965,56.8,5.7,80.703
CHN,1965,49.2,6.4,711.5829
EST,1965,70.3,1.9,1.294566
IND,1965,44.3,5.8,497.8542
IDN,1965,51.7,5.6,100.3432
RUS,1965,67.8,2.1,126.7491
AUS,1964,70.7,3.2,11.1216
AUT,1964,70,2.8,7.223801
BEL,1964,70.9,2.7,9.378113
CZE,1964,70.7,2.4,9.730019
FRA,1964,71.4,2.9,48.31041
DEU,1964,70.6,2.5,57.971
GRC,1964,71.9,2.2,8.510429
HUN,1964,69.5,1.8,10.12
ISL,1964,73.6,3.9,0.1888
JPN,1964,70.3,2.1,97.186
NLD,1964,73.8,3.2,12.12712
NZL,1964,71.2,3.8,2.589
NOR,1964,73.9,3,3.694
POL,1964,68.7,2.6,31.161
PRT,1964,64.9,3.2,9.035365
SVK,1964,71.2,2.9,4.327341
SWE,1964,73.8,2.5,7.661353
CHE,1964,72.2,2.7,5.789228
TUR,1964,51,6,30.391
USA,1964,70.3,3.2,191.8888
BRA,1964,56.3,5.8,78.414
CHN,1964,47.2,6.3,695.9187
EST,1964,70.3,1.9,1.277086
IND,1964,43.7,5.9,487.4641
IDN,1964,51.1,5.6,97.82113
RUS,1964,67.7,2.2,125.6448
AUS,1963,71.1,3.3,10.9069
AUT,1963,69.6,2.8,7.175811
BEL,1963,70.1,2.7,9.28977
CZE,1963,70.5,2.3,9.668741
FIN,1963,69,2.7,4.523
FRA,1963,70.5,2.9,47.81622
DEU,1963,70,2.5,57.389
GRC,1963,72,2.1,8.479625
HUN,1963,69,1.8,10.088
ISL,1963,73.2,4,0.1855
JPN,1963,69.8,2,96.156
NLD,1963,73.4,3.2,11.96597
NZL,1963,71.2,4.1,2.537
NOR,1963,73.4,2.9,3.667
POL,1963,68.5,2.7,30.691
PRT,1963,64.7,3.1,9.030355
SVK,1963,70.8,2.9,4.282016
SWE,1963,73.6,2.3,7.604327
CHE,1963,71.3,2.7,5.694247
TUR,1963,50.3,6.2,29.652
USA,1963,70,3.3,189.2418
BRA,1963,55.8,5.9,76.169
CHN,1963,45.6,6.2,682.6161
EST,1963,69.5,1.9,1.258857
IND,1963,43,5.9,477.457
IDN,1963,50.5,5.6,95.40449
RUS,1963,67.4,2.3,124.3766
AUS,1962,71,3.4,10.7005
AUT,1962,69.4,2.8,7.129864
BEL,1962,70.3,2.6,9.220577
CZE,1962,69.9,2.1,9.621808
FRA,1962,70.5,2.8,46.9977
DEU,1962,69.9,2.4,56.837
GRC,1962,71.7,2.2,8.448233
HUN,1962,67.9,1.8,10.061
ISL,1962,73.8,4,0.1821
JPN,1962,68.7,2,95.178
NLD,1962,73.4,3.2,11.80569
NZL,1962,71.2,4.2,2.485
NOR,1962,73.7,2.9,3.639
POL,1962,67.5,2.7,30.324
PRT,1962,64.1,3.2,8.993985
SVK,1962,70.4,2.8,4.238188
SWE,1962,73.4,2.3,7.561588
CHE,1962,71.3,2.6,5.573815
TUR,1962,49.7,6.3,28.931
USA,1962,70.2,3.5,186.5377
BRA,1962,55.3,6,73.969
CHN,1962,44.4,6.1,671.1549
EST,1962,69.4,2,1.241622
IND,1962,42.4,5.9,467.8056
IDN,1962,49.9,5.6,93.08653
RUS,1962,67.1,2.4,122.9705
AUS,1961,71.2,3.5,10.5082
AUT,1961,69.7,2.8,7.086298
BEL,1961,70.6,2.6,9.183947
CAN,1961,71.3,3.8,18.635
CZE,1961,70.7,2.1,9.588016
FRA,1961,71,2.8,46.16283
DEU,1961,69.7,2.4,56.175
GRC,1961,72,2.1,8.39805
HUN,1961,69,1.9,10.028
ISL,1961,73.6,3.9,0.1789
ITA,1961,69.8,2.4,49.156
JPN,1961,68.4,2,94.285
NLD,1961,73.8,3.2,11.63871
NZL,1961,71.1,4.3,2.427
NOR,1961,73.8,2.9,3.615
POL,1961,67.8,2.8,29.965
PRT,1961,62.7,3.2,8.929316
SVK,1961,70.9,3,4.191667
SWE,1961,73.5,2.2,7.519997
CHE,1961,71.8,2.5,5.434294
TUR,1961,49,6.3,28.227
GBR,1961,70.7,2.8,52.807
USA,1961,70.4,3.6,183.6915
BRA,1961,54.8,6,71.818
CHN,1961,43.7,5.9,660.735
EST,1961,69.2,2,1.225076
IND,1961,41.8,5.9,458.496
IDN,1961,49.3,5.7,90.85668
RUS,1961,66.7,2.5,121.469
AUS,1960,70.9,3.5,10.275
AUT,1960,68.7,2.7,7.047539
BEL,1960,69.8,2.5,9.153489
CZE,1960,70.7,2.1,9.659818
DNK,1960,72.4,2.5,4.579603
FIN,1960,69,2.7,4.43
FRA,1960,70.3,2.7,45.68423
DEU,1960,69.1,2.4,55.585
HUN,1960,68.1,2,9.984
IRL,1960,70,3.8,2.8321
JPN,1960,67.8,2,93.419
LUX,1960,69.4,2.3,0.313969
NLD,1960,73.5,3.1,11.48663
NOR,1960,73.8,2.9,3.585
POL,1960,67.8,3,29.561
PRT,1960,63.9,3.1,8.857716
SVK,1960,70.3,3.1,4.068094
ESP,1960,69.8,2.9,30.256
SWE,1960,73.1,2.2,7.484656
CHE,1960,71.4,2.4,5.327827
TUR,1960,48.3,6.4,27.506
GBR,1960,70.8,2.7,52.373
USA,1960,69.9,3.7,180.6712
BRA,1960,54.3,6.1,69.717
CHN,1960,43.4,5.7,650.7126
EST,1960,68.9,2,1.211537
IND,1960,41.2,5.9,449.5214
IDN,1960,48.7,5.7,88.70762
RUS,1960,66.2,2.5,119.9057
